,English,Spanish,Cosine_Similarity_ES,Portuguese,Cosine_Similarity_PT,French,Cosine_Similarity_FR
0,actual,actual,1.0000001192092896,atual,0.9869554042816162,actuel,0.9948712587356567
1,exit,éxito,0.9894802570343018,êxito,0.9894802570343018,sortie,0.9877794981002808
2,rope,ropa,0.9928904175758362,roupa,0.9943411946296692,corde,0.9920677542686462
3,large,largo,0.9823554158210754,largo,0.9823554158210754,grand,0.9830068945884705
4,fabric,fábrica,0.9887301921844482,fábrica,0.9887301921844482,tissu,0.992548942565918
5,assist,asistir,0.9876270294189453,assistir,0.9882745742797852,assister,0.9873781204223633
6,eventually,eventualmente,0.9980167746543884,eventualmente,0.9980167746543884,finalement,0.9958909749984741
7,library,librería,0.989410936832428,livraria,0.9886281490325928,bibliothèque,0.9895938038825989
8,sensible,sensible,1.0000001192092896,sensível,0.9933878779411316,raisonnable,0.9923262000083923
9,sympathy,simpatía,0.9943621158599854,simpatia,0.9943621158599854,compassion,0.9960579872131348
10,billion,billón,0.9829421043395996,bilhão,0.9811099171638489,milliard,0.9919795393943787
11,brave,bravo,0.9893754124641418,bravo,0.9893754124641418,courageux,0.9941639304161072
12,lecture,lectura,0.9853730201721191,leitura,0.9842382669448853,conférence,0.9896644949913025
13,parent,pariente,0.9874024987220764,parente,0.9913439750671387,parent,1.0000001192092896
14,rent,renta,0.9888290166854858,renda,0.9902105331420898,loyer,0.9863207340240479
